"filename", "language", "JSON with Comments", "TypeScript", "Properties", "CSS", "JSON", "JavaScript", "Markdown", "XML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\julia\Desktop\Development\interiorly\mystahd\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\julia\Desktop\Development\interiorly\mystahd\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\julia\Desktop\Development\interiorly\mystahd\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\julia\Desktop\Development\interiorly\mystahd\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 5, 44
"c:\Users\julia\Desktop\Development\interiorly\mystahd\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\julia\Desktop\Development\interiorly\mystahd\app\store\[categoryId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 7, 29
"c:\Users\julia\Desktop\Development\interiorly\mystahd\app\store\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\Users\julia\Desktop\Development\interiorly\mystahd\app\store\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\background-beams.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 5, 142
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\brand.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 2, 40
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\gradient-wrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 7, 89
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\icons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 712, 0, 41, 753
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\landing-page\cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 3, 63
